# ppt
 ,eco3021,eco3051,eco3081,eco3111,eco3141,eco3171,eco3201,eco3231,eco3261,eco3311,eco4021,eco4051,eco4081,eco4111,eco4141,eco4171,eco4201,eco4231,eco4261,eco4311,eco6021,eco6051,eco6081,eco6111,eco6141,eco6171,eco6201,eco6231,eco6261,eco6311,eco7021,eco7051,eco7081,eco7111,eco7141,eco7171,eco7201,eco7231,eco7261,eco7311,eco3021,eco3051,eco3081,eco3111,eco3141,eco3171,eco3201,eco3231,eco3261,eco3311,eco4021,eco4051,eco4081,eco4111,eco4141,eco4171,eco4201,eco4231,eco4261,eco4311,eco6021,eco6051,eco6081,eco6111,eco6141,eco6171,eco6201,eco6231,eco6261,eco6311,eco7021,eco7051,eco7081,eco7111,eco7141,eco7171,eco7201,eco7231,eco7261,eco7311,eco3021,eco3051,eco3081,eco3111,eco3141,eco3171,eco3201,eco3231,eco3261,eco3311,eco4021,eco4051,eco4081,eco4111,eco4141,eco4171,eco4201,eco4231,eco4261,eco4311,eco6021,eco6051,eco6081,eco6111,eco6141,eco6171,eco6201,eco6231,eco6261,eco6311,eco7021,eco7051,eco7081,eco7111,eco7141,eco7171,eco7201,eco7231,eco7261,eco7311
TIMESTEP,MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month)
2010-11-01T00:00:00Z,55.149843229,55.149843229,55.149843229,55.149843229,55.149843229,55.149843229,55.149843229,55.149843229,55.149843229,55.149843229,65.261713769,65.261713769,65.261713769,65.261713769,65.261713769,65.261713769,65.261713769,65.261713769,65.261713769,65.261713769,50.992829192,50.992829192,50.992829192,50.992829192,50.992829192,50.992829192,50.992829192,50.992829192,50.992829192,50.992829192,48.860693428,48.860693428,48.860693428,48.860693428,48.860693428,48.860693428,48.860693428,48.860693428,48.860693428,48.860693428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-01T00:00:00Z,119.898552356,119.898552356,119.898552356,119.898552356,119.898552356,119.898552356,119.898552356,119.898552356,119.898552356,119.898552356,106.187729552,106.187729552,106.187729552,106.187729552,106.187729552,106.187729552,106.187729552,106.187729552,106.187729552,106.187729552,120.314072647,120.314072647,120.314072647,120.314072647,120.314072647,120.314072647,120.314072647,120.314072647,120.314072647,120.314072647,105.033907887,105.033907887,105.033907887,105.033907887,105.033907887,105.033907887,105.033907887,105.033907887,105.033907887,105.033907887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01T00:00:00Z,76.39536176,76.39536176,76.39536176,76.39536176,76.39536176,76.39536176,76.39536176,76.39536176,76.39536176,76.39536176,72.300709791,72.300709791,72.300709791,72.300709791,72.300709791,72.300709791,72.300709791,72.300709791,72.300709791,72.300709791,80.579599101,80.579599101,80.579599101,80.579599101,80.579599101,80.579599101,80.579599101,80.579599101,80.579599101,80.579599101,62.973292282,62.973292282,62.973292282,62.973292282,62.973292282,62.973292282,62.973292282,62.973292282,62.973292282,62.973292282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-01T00:00:00Z,69.86430938,69.86430938,69.86430938,69.86430938,69.86430938,69.86430938,69.86430938,69.86430938,69.86430938,69.86430938,100.252153288,100.252153288,100.252153288,100.252153288,100.252153288,100.252153288,100.252153288,100.252153288,100.252153288,100.252153288,49.888261553,49.888261553,49.888261553,49.888261553,49.888261553,49.888261553,49.888261553,49.888261553,49.888261553,49.888261553,44.376322035,44.376322035,44.376322035,44.376322035,44.376322035,44.376322035,44.376322035,44.376322035,44.376322035,44.376322035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-01T00:00:00Z,192.796765808,192.796765808,192.796765808,192.796765808,192.796765808,192.796765808,192.796765808,192.796765808,192.796765808,192.796765808,192.321798289,192.321798289,192.321798289,192.321798289,192.321798289,192.321798289,192.321798289,192.321798289,192.321798289,192.321798289,189.346359948,189.346359948,189.346359948,189.346359948,189.346359948,189.346359948,189.346359948,189.346359948,189.346359948,189.346359948,146.108588058,146.108588058,146.108588058,146.108588058,146.108588058,146.108588058,146.108588058,146.108588058,146.108588058,146.108588058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-01T00:00:00Z,86.198903122,86.198903122,86.198903122,86.198903122,86.198903122,86.198903122,86.198903122,86.198903122,86.198903122,86.198903122,75.206129091,75.206129091,75.206129091,75.206129091,75.206129091,75.206129091,75.206129091,75.206129091,75.206129091,75.206129091,79.379018736,79.379018736,79.379018736,79.379018736,79.379018736,79.379018736,79.379018736,79.379018736,79.379018736,79.379018736,79.75085001,79.75085001,79.75085001,79.75085001,79.75085001,79.75085001,79.75085001,79.75085001,79.75085001,79.75085001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-01T00:00:00Z,61.139112743,61.139112743,61.139112743,61.139112743,61.139112743,61.139112743,61.139112743,61.139112743,61.139112743,61.139112743,71.447646786,71.447646786,71.447646786,71.447646786,71.447646786,71.447646786,71.447646786,71.447646786,71.447646786,71.447646786,56.02361853,56.02361853,56.02361853,56.02361853,56.02361853,56.02361853,56.02361853,56.02361853,56.02361853,56.02361853,55.684701561,55.684701561,55.684701561,55.684701561,55.684701561,55.684701561,55.684701561,55.684701561,55.684701561,55.684701561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-01T00:00:00Z,96.410093961,96.410093961,96.410093961,96.410093961,96.410093961,96.410093961,96.410093961,96.410093961,96.410093961,96.410093961,120.82445351,120.82445351,120.82445351,120.82445351,120.82445351,120.82445351,120.82445351,120.82445351,120.82445351,120.82445351,67.515287579,67.515287579,67.515287579,67.515287579,67.515287579,67.515287579,67.515287579,67.515287579,67.515287579,67.515287579,79.496085419,79.496085419,79.496085419,79.496085419,79.496085419,79.496085419,79.496085419,79.496085419,79.496085419,79.496085419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-01T00:00:00Z,122.396889855,122.396889855,122.396889855,122.396889855,122.396889855,122.396889855,122.396889855,122.396889855,122.396889855,122.396889855,136.943672372,136.943672372,136.943672372,136.943672372,136.943672372,136.943672372,136.943672372,136.943672372,136.943672372,136.943672372,112.757146608,112.757146608,112.757146608,112.757146608,112.757146608,112.757146608,112.757146608,112.757146608,112.757146608,112.757146608,136.058305737,136.058305737,136.058305737,136.058305737,136.058305737,136.058305737,136.058305737,136.058305737,136.058305737,136.058305737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-01T00:00:00Z,42.593098023,42.593098023,42.593098023,42.593098023,42.593098023,42.593098023,42.593098023,42.593098023,42.593098023,42.593098023,57.053352173,57.053352173,57.053352173,57.053352173,57.053352173,57.053352173,57.053352173,57.053352173,57.053352173,57.053352173,47.096130597,47.096130597,47.096130597,47.096130597,47.096130597,47.096130597,47.096130597,47.096130597,47.096130597,47.096130597,59.622947381,59.622947381,59.622947381,59.622947381,59.622947381,59.622947381,59.622947381,59.622947381,59.622947381,59.622947381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-01T00:00:00Z,75.497308236,75.497308236,75.497308236,75.497308236,75.497308236,75.497308236,75.497308236,75.497308236,75.497308236,75.497308236,158.196184485,158.196184485,158.196184485,158.196184485,158.196184485,158.196184485,158.196184485,158.196184485,158.196184485,158.196184485,47.707156505,47.707156505,47.707156505,47.707156505,47.707156505,47.707156505,47.707156505,47.707156505,47.707156505,47.707156505,49.751689867,49.751689867,49.751689867,49.751689867,49.751689867,49.751689867,49.751689867,49.751689867,49.751689867,49.751689867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-10-01T00:00:00Z,112.65904371,112.65904371,112.65904371,112.65904371,112.65904371,112.65904371,112.65904371,112.65904371,112.65904371,112.65904371,108.168941823,108.168941823,108.168941823,108.168941823,108.168941823,108.168941823,108.168941823,108.168941823,108.168941823,108.168941823,115.224804923,115.224804923,115.224804923,115.224804923,115.224804923,115.224804923,115.224804923,115.224804923,115.224804923,115.224804923,106.744820423,106.744820423,106.744820423,106.744820423,106.744820423,106.744820423,106.744820423,106.744820423,106.744820423,106.744820423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-11-01T00:00:00Z,55.149843229,55.149843229,55.149843229,55.149843229,55.149843229,55.149843229,55.149843229,55.149843229,55.149843229,55.149843229,65.261713769,65.261713769,65.261713769,65.261713769,65.261713769,65.261713769,65.261713769,65.261713769,65.261713769,65.261713769,50.992829192,50.992829192,50.992829192,50.992829192,50.992829192,50.992829192,50.992829192,50.992829192,50.992829192,50.992829192,48.860693428,48.860693428,48.860693428,48.860693428,48.860693428,48.860693428,48.860693428,48.860693428,48.860693428,48.860693428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
